,0
0.0,na
0.05,na
0.1,na
0.15,na
0.2,na
0.25,na
0.3,na
0.35,na
0.4,na
0.45,na
0.5,na
0.55,na
0.6,na
0.65,na
0.7,na
0.75,na
0.8,na
0.85,na
0.9,na
0.95,na
1.0,na
1.05,na
1.1,na
1.15,na
1.2,na
1.25,na
1.3,na
1.35,na
1.4,na
1.45,na
1.5,na
1.55,na
1.6,na
1.65,na
1.7,na
1.75,na
1.8,na
1.85,na
1.9,na
1.95,na
2.0,na
2.05,na
2.1,na
2.15,na
2.2,na
2.25,na
2.3,na
2.35,na
2.4,na
2.45,na
2.5,na
2.55,na
2.6,na
2.65,na
2.7,na
2.75,na
2.8,na
2.85,na
2.9,na
2.95,na
3.0,na
3.05,na
3.1,na
3.15,na
3.2,na
3.25,na
3.3,na
3.35,na
3.4,na
3.45,na
3.5,na
3.55,na
3.6,na
3.65,na
3.7,na
3.75,na
3.8,na
3.85,na
3.9,na
3.95,na
4.0,na
4.05,na
4.1,na
4.15,na
4.2,na
4.25,na
4.3,na
4.35,na
4.4,na
4.45,na
4.5,na
4.55,na
4.6,na
4.65,na
4.7,na
4.75,na
4.8,na
4.85,na
4.9,na
4.95,na
5.0,na
5.05,na
5.1,na
5.15,na
5.2,na
5.25,na
5.3,na
5.35,na
5.4,na
5.45,na
5.5,walking
5.55,walking
5.6,walking
5.65,walking
5.7,walking
5.75,walking
5.8,walking
5.85,walking
5.9,walking
5.95,walking
6.0,walking
6.05,walking
6.1,na
6.15,na
6.2,na
6.25,na
6.3,na
6.35,na
6.4,na
6.45,na
6.5,na
6.55,na
6.6,na
6.65,walking
6.7,walking
6.75,walking
6.8,walking
6.85,walking
6.9,walking
6.95,walking
7.0,walking
7.05,walking
7.1,walking
7.15,walking
7.2,walking
7.25,walking
7.3,walking
7.35,walking
7.4,walking
7.45,walking
7.5,walking
7.55,walking
7.6,walking
7.65,walking
7.7,walking
7.75,walking
7.8,walking
7.85,walking
7.9,walking
7.95,walking
8.0,walking
8.05,walking
8.1,walking
8.15,walking
8.2,walking
8.25,walking
8.3,walking
8.35,na
8.4,na
8.45,na
8.5,na
8.55,na
8.6,rearing
8.65,rearing
8.7,rearing
8.75,rearing
8.8,rearing
8.85,rearing
8.9,rearing
8.95,rearing
9.0,rearing
9.05,rearing
9.1,rearing
9.15,rearing
9.2,rearing
9.25,rearing
9.3,rearing
9.35,rearing
9.4,rearing
9.45,rearing
9.5,rearing
9.55,rearing
9.6,rearing
9.65,rearing
9.7,rearing
9.75,rearing
9.8,rearing
9.85,rearing
9.9,rearing
9.95,rearing
10.0,rearing
10.05,rearing
10.1,rearing
10.15,rearing
10.2,rearing
10.25,rearing
10.3,rearing
10.35,rearing
10.4,rearing
10.45,rearing
10.5,rearing
10.55,rearing
10.6,rearing
10.65,rearing
10.7,rearing
10.75,rearing
10.8,rearing
10.85,rearing
10.9,rearing
10.95,rearing
11.0,rearing
11.05,rearing
11.1,rearing
11.15,rearing
11.2,rearing
11.25,rearing
11.3,rearing
11.35,rearing
11.4,rearing
11.45,rearing
11.5,rearing
11.55,rearing
11.6,rearing
11.65,rearing
11.7,rearing
11.75,rearing
11.8,rearing
11.85,rearing
11.9,rearing
11.95,rearing
12.0,rearing
12.05,rearing
12.1,rearing
12.15,rearing
12.2,rearing
12.25,rearing
12.3,rearing
12.35,rearing
12.4,rearing
12.45,rearing
12.5,rearing
12.55,rearing
12.6,rearing
12.65,rearing
12.7,rearing
12.75,rearing
12.8,rearing
12.85,rearing
12.9,rearing
12.95,rearing
13.0,rearing
13.05,rearing
13.1,rearing
13.15,rearing
13.2,rearing
13.25,rearing
13.3,rearing
13.35,rearing
13.4,rearing
13.45,rearing
13.5,rearing
13.55,rearing
13.6,rearing
13.65,rearing
13.7,rearing
13.75,rearing
13.8,rearing
13.85,rearing
13.9,rearing
13.95,rearing
14.0,rearing
14.05,rearing
14.1,rearing
14.15,rearing
14.2,rearing
14.25,rearing
14.3,rearing
14.35,rearing
14.4,rearing
14.45,rearing
14.5,rearing
14.55,rearing
14.6,rearing
14.65,rearing
14.7,rearing
14.75,rearing
14.8,rearing
14.85,rearing
14.9,rearing
14.95,rearing
15.0,rearing
15.05,rearing
15.1,rearing
15.15,rearing
15.2,rearing
15.25,rearing
15.3,rearing
15.35,rearing
15.4,rearing
15.45,rearing
15.5,rearing
15.55,rearing
15.6,rearing
15.65,rearing
15.7,rearing
15.75,rearing
15.8,rearing
15.85,rearing
15.9,rearing
15.95,rearing
16.0,rearing
16.05,rearing
16.1,rearing
16.15,rearing
16.2,na
16.25,na
16.3,na
16.35,na
16.4,na
16.45,na
16.5,na
16.55,na
16.6,na
16.65,na
16.7,na
16.75,na
16.8,na
16.85,na
16.9,na
16.95,na
17.0,walking
17.05,walking
17.1,walking
17.15,walking
17.2,walking
17.25,walking
17.3,walking
17.35,walking
17.4,walking
17.45,walking
17.5,na
17.55,na
17.6,na
17.65,na
17.7,na
