,0
0.0,na
0.05,walking
0.1,walking
0.15,walking
0.2,walking
0.25,walking
0.3,walking
0.35,walking
0.4,walking
0.45,walking
0.5,walking
0.55,walking
0.6,walking
0.65,walking
0.7,walking
0.75,walking
0.8,walking
0.85,walking
0.9,walking
0.95,walking
1.0,walking
1.05,walking
1.1,walking
1.15,walking
1.2,walking
1.25,walking
1.3,walking
1.35,walking
1.4,walking
1.45,walking
1.5,walking
1.55,walking
1.6,walking
1.65,walking
1.7,walking
1.75,walking
1.8,walking
1.85,walking
1.9,walking
1.95,walking
2.0,walking
2.05,walking
2.1,walking
2.15,walking
2.2,walking
2.25,walking
2.3,walking
2.35,walking
2.4,walking
2.45,walking
2.5,walking
2.55,walking
2.6,walking
2.65,walking
2.7,walking
2.75,walking
2.8,walking
2.85,walking
2.9,walking
2.95,walking
3.0,walking
3.05,walking
3.1,walking
3.15,walking
3.2,na
3.25,na
3.3,na
3.35,na
3.4,na
3.45,na
3.5,na
3.55,na
3.6,na
3.65,rearing
3.7,rearing
3.75,rearing
3.8,rearing
3.85,rearing
3.9,rearing
3.95,rearing
4.0,rearing
4.05,rearing
4.1,rearing
4.15,rearing
4.2,rearing
4.25,rearing
4.3,rearing
4.35,rearing
4.4,rearing
4.45,rearing
4.5,rearing
4.55,na
4.6,na
4.65,na
4.7,na
4.75,na
4.8,na
4.85,na
4.9,na
4.95,na
5.0,na
5.05,walking
5.1,walking
5.15,walking
5.2,walking
5.25,walking
5.3,walking
5.35,walking
5.4,walking
5.45,na
5.5,na
5.55,na
5.6,na
5.65,rearing
5.7,rearing
5.75,rearing
5.8,rearing
5.85,rearing
5.9,rearing
5.95,rearing
6.0,rearing
6.05,rearing
6.1,rearing
6.15,rearing
6.2,rearing
6.25,na
6.3,na
6.35,na
6.4,na
6.45,na
6.5,na
6.55,walking
6.6,walking
6.65,walking
6.7,walking
6.75,walking
6.8,walking
6.85,walking
6.9,walking
6.95,walking
7.0,walking
7.05,walking
7.1,walking
7.15,walking
7.2,walking
7.25,walking
7.3,walking
7.35,walking
7.4,walking
7.45,walking
7.5,walking
7.55,walking
7.6,walking
7.65,walking
7.7,walking
7.75,walking
7.8,walking
7.85,walking
7.9,na
7.95,na
8.0,na
8.05,na
8.1,na
8.15,na
8.2,na
8.25,na
8.3,na
8.35,walking
8.4,walking
8.45,walking
8.5,walking
8.55,walking
8.6,walking
8.65,walking
8.7,walking
8.75,walking
8.8,walking
8.85,walking
8.9,walking
8.95,walking
9.0,walking
9.05,walking
9.1,walking
9.15,walking
9.2,walking
9.25,walking
9.3,walking
9.35,walking
9.4,walking
9.45,walking
9.5,na
9.55,na
9.6,na
9.65,na
9.7,na
9.75,na
9.8,walking
9.85,walking
9.9,walking
9.95,walking
10.0,walking
10.05,walking
10.1,walking
10.15,walking
10.2,walking
10.25,walking
10.3,walking
10.35,walking
10.4,walking
10.45,walking
10.5,walking
10.55,walking
10.6,walking
10.65,walking
10.7,walking
10.75,walking
10.8,walking
10.85,walking
10.9,walking
10.95,walking
11.0,walking
11.05,na
11.1,na
11.15,na
11.2,na
11.25,na
11.3,na
11.35,na
11.4,na
11.45,na
11.5,na
11.55,na
11.6,na
11.65,na
11.7,na
11.75,walking
11.8,walking
11.85,walking
11.9,walking
11.95,walking
12.0,walking
12.05,walking
12.1,walking
12.15,walking
12.2,walking
12.25,walking
12.3,walking
12.35,walking
12.4,walking
12.45,walking
12.5,walking
12.55,walking
12.6,walking
12.65,walking
12.7,na
12.75,na
12.8,na
12.85,na
12.9,na
12.95,na
13.0,standing
13.05,standing
13.1,standing
13.15,standing
13.2,standing
13.25,standing
13.3,standing
13.35,standing
13.4,standing
13.45,standing
13.5,standing
13.55,standing
13.6,standing
13.65,standing
13.7,standing
13.75,standing
13.8,standing
13.85,standing
13.9,standing
13.95,standing
14.0,standing
14.05,standing
14.1,standing
14.15,standing
14.2,na
14.25,na
14.3,rearing
14.35,na
14.4,na
14.45,walking
14.5,walking
14.55,walking
14.6,walking
14.65,walking
14.7,walking
14.75,walking
14.8,walking
14.85,walking
14.9,walking
14.95,walking
15.0,walking
15.05,na
15.1,na
15.15,na
15.2,na
15.25,na
15.3,rearing
15.35,rearing
15.4,rearing
15.45,rearing
15.5,rearing
15.55,rearing
15.6,rearing
15.65,rearing
15.7,rearing
15.75,rearing
15.8,rearing
15.85,rearing
15.9,rearing
15.95,rearing
16.0,rearing
16.05,na
16.1,na
16.15,walking
16.2,walking
16.25,walking
16.3,walking
16.35,walking
16.4,walking
16.45,walking
16.5,walking
16.55,walking
16.6,na
16.65,na
16.7,na
16.75,na
16.8,na
16.85,na
16.9,na
16.95,na
17.0,na
17.05,na
17.1,walking
17.15,walking
17.2,na
17.25,na
17.3,na
17.35,na
17.4,na
17.45,na
17.5,na
17.55,na
17.6,na
17.65,na
17.7,na
17.75,na
17.8,na
17.85,na
17.9,na
17.95,na
18.0,rearing
18.05,rearing
18.1,rearing
18.15,rearing
18.2,rearing
18.25,rearing
18.3,rearing
18.35,rearing
18.4,rearing
18.45,rearing
18.5,rearing
18.55,rearing
18.6,rearing
18.65,rearing
18.7,rearing
18.75,rearing
18.8,rearing
18.85,rearing
18.9,na
18.95,na
19.0,na
19.05,na
19.1,na
19.15,na
19.2,na
19.25,walking
19.3,walking
19.35,walking
19.4,walking
19.45,walking
19.5,walking
19.55,walking
19.6,walking
19.65,na
19.7,na
19.75,na
19.8,na
19.85,na
19.9,na
19.95,na
20.0,na
20.05,na
20.1,na
20.15,na
20.2,na
20.25,na
20.3,na
20.35,walking
20.4,walking
20.45,walking
20.5,walking
20.55,walking
20.6,walking
20.65,walking
20.7,walking
20.75,walking
20.8,walking
20.85,walking
20.9,walking
20.95,walking
21.0,walking
21.05,na
21.1,na
21.15,na
21.2,na
21.25,rearing
21.3,rearing
21.35,rearing
21.4,rearing
21.45,rearing
21.5,rearing
21.55,rearing
21.6,rearing
21.65,rearing
21.7,rearing
21.75,rearing
21.8,rearing
21.85,rearing
21.9,rearing
21.95,rearing
22.0,rearing
22.05,rearing
22.1,rearing
22.15,rearing
22.2,rearing
22.25,rearing
22.3,rearing
22.35,rearing
22.4,rearing
22.45,rearing
22.5,rearing
22.55,rearing
22.6,rearing
22.65,rearing
22.7,rearing
22.75,rearing
22.8,na
22.85,na
22.9,na
22.95,na
23.0,na
23.05,na
23.1,na
23.15,walking
23.2,walking
23.25,walking
23.3,walking
23.35,walking
23.4,walking
23.45,walking
23.5,walking
23.55,walking
23.6,walking
23.65,walking
23.7,walking
23.75,na
23.8,na
23.85,na
23.9,na
23.95,na
24.0,na
24.05,na
24.1,na
24.15,na
24.2,walking
24.25,walking
24.3,walking
24.35,walking
24.4,walking
24.45,walking
24.5,walking
24.55,na
24.6,na
24.65,rearing
24.7,rearing
24.75,rearing
24.8,rearing
24.85,rearing
24.9,rearing
24.95,rearing
25.0,rearing
25.05,rearing
25.1,rearing
25.15,rearing
25.2,rearing
25.25,rearing
25.3,rearing
25.35,rearing
25.4,rearing
25.45,rearing
25.5,rearing
25.55,rearing
25.6,na
25.65,walking
25.7,walking
25.75,walking
25.8,walking
25.85,walking
25.9,walking
25.95,walking
26.0,walking
26.05,walking
26.1,walking
26.15,walking
26.2,na
26.25,na
26.3,na
26.35,na
26.4,na
26.45,na
26.5,na
26.55,na
26.6,rearing
26.65,rearing
26.7,rearing
26.75,rearing
26.8,rearing
26.85,rearing
26.9,rearing
26.95,rearing
27.0,rearing
27.05,rearing
27.1,rearing
27.15,rearing
27.2,rearing
27.25,rearing
27.3,rearing
27.35,rearing
27.4,rearing
27.45,rearing
27.5,rearing
27.55,rearing
27.6,rearing
27.65,rearing
27.7,rearing
27.75,rearing
27.8,rearing
27.85,rearing
27.9,rearing
27.95,rearing
28.0,na
28.05,na
28.1,na
28.15,na
28.2,na
28.25,na
28.3,na
28.35,walking
28.4,walking
28.45,walking
28.5,walking
28.55,walking
28.6,walking
28.65,walking
28.7,walking
28.75,walking
28.8,walking
28.85,walking
28.9,walking
28.95,walking
29.0,walking
29.05,walking
29.1,na
29.15,na
29.2,na
29.25,na
29.3,na
29.35,na
29.4,na
29.45,na
29.5,na
29.55,na
29.6,na
29.65,na
29.7,na
29.75,na
29.8,na
29.85,rearing
29.9,rearing
29.95,rearing
30.0,rearing
30.05,rearing
30.1,rearing
30.15,rearing
30.2,rearing
30.25,rearing
30.3,rearing
30.35,rearing
30.4,rearing
30.45,na
30.5,walking
30.55,walking
30.6,walking
30.65,walking
30.7,walking
30.75,walking
30.8,walking
30.85,walking
30.9,walking
30.95,walking
31.0,walking
31.05,na
31.1,na
31.15,na
31.2,na
31.25,na
31.3,na
31.35,na
31.4,na
31.45,na
31.5,na
31.55,na
31.6,na
31.65,na
31.7,na
31.75,na
31.8,na
31.85,na
31.9,na
31.95,na
32.0,na
32.05,na
32.1,na
32.15,na
32.2,walking
32.25,walking
32.3,walking
32.35,walking
32.4,walking
32.45,walking
32.5,na
32.55,na
32.6,na
32.65,na
32.7,rearing
32.75,rearing
32.8,rearing
32.85,rearing
32.9,rearing
32.95,rearing
33.0,rearing
33.05,rearing
33.1,na
33.15,na
33.2,na
33.25,na
33.3,na
33.35,na
33.4,walking
33.45,walking
33.5,walking
33.55,walking
33.6,walking
33.65,walking
33.7,walking
33.75,walking
33.8,walking
33.85,walking
33.9,walking
33.95,walking
34.0,walking
34.05,walking
34.1,walking
34.15,walking
34.2,walking
34.25,walking
34.3,walking
34.35,rearing
34.4,rearing
34.45,rearing
34.5,rearing
34.55,rearing
34.6,rearing
34.65,rearing
34.7,rearing
34.75,rearing
34.8,rearing
34.85,rearing
